Type,eta,N,psi,thetaS,thetaR,Ks,par1,par2,par3,par4,et
L,0,320,-2,0.38,0.02,0.003697,1.7,1.47,-999,-999,0
L,-2,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
